n_gates,max_dbz,area30,area40,top30_km,cen_lat,cen_lon,radar,hour,key
52307,70.0,2230.0,422.0,7.328,33.55346033405555,-115.09143162850003,KYUX,14.014722222222222,2021/09/18/KYUX/KYUX20210918_140053_V06
52164,62.0,2024.0,333.0,7.524,33.65386339042482,-114.96055926435396,KYUX,14.082222222222223,2021/09/18/KYUX/KYUX20210918_140456_V06
52953,66.5,2277.0,454.0,7.733,33.642813308691515,-115.01244220512746,KYUX,14.154444444444445,2021/09/18/KYUX/KYUX20210918_140916_V06
53321,71.0,2488.0,501.0,7.986,33.668749439457606,-114.97936805423411,KYUX,14.22638888888889,2021/09/18/KYUX/KYUX20210918_141335_V06
53661,60.5,2156.0,456.0,7.35,33.76355516517321,-114.83547080432574,KYUX,14.298333333333334,2021/09/18/KYUX/KYUX20210918_141754_V06
60965,65.0,3079.0,786.0,8.457,33.797936252864105,-114.95076927690432,KYUX,14.401666666666667,2021/09/18/KYUX/KYUX20210918_142406_V06
65970,77.0,3072.0,788.0,8.648,33.7724672451728,-115.02495501766198,KYUX,14.473888888888888,2021/09/18/KYUX/KYUX20210918_142826_V06
59017,65.0,2901.0,750.0,7.497,33.691057555623665,-115.15607338615793,KYUX,14.549722222222222,2021/09/18/KYUX/KYUX20210918_143259_V06
57345,70.0,3228.0,914.0,8.718,33.66688224456561,-115.1156305975731,KYUX,14.621944444444445,2021/09/18/KYUX/KYUX20210918_143719_V06
58044,73.0,3715.0,974.0,8.719,33.75763415334503,-115.08276725217213,KYUX,14.693888888888889,2021/09/18/KYUX/KYUX20210918_144138_V06
56074,64.0,3010.0,865.0,7.931,33.72241071231986,-115.20465368294829,KYUX,14.765833333333333,2021/09/18/KYUX/KYUX20210918_144557_V06
56527,67.0,3103.0,791.0,7.742,33.58248202057241,-115.38349151472771,KYUX,14.838055555555556,2021/09/18/KYUX/KYUX20210918_145017_V06
55723,70.5,2269.0,694.0,7.544,33.400859630419134,-115.40407438613859,KYUX,14.910277777777779,2021/09/18/KYUX/KYUX20210918_145437_V06
52781,72.0,2202.0,690.0,7.43,33.29208120323665,-115.5830299552183,KYUX,14.9825,2021/09/18/KYUX/KYUX20210918_145857_V06
54018,69.5,1893.0,601.0,8.921,33.25663276331678,-115.60032351007575,KYUX,15.048333333333334,2021/09/18/KYUX/KYUX20210918_150254_V06
53079,82.5,1931.0,735.0,8.989,33.23159480981858,-115.6344610486768,KYUX,15.120555555555557,2021/09/18/KYUX/KYUX20210918_150714_V06
51089,76.5,2141.0,686.0,7.463,33.32724791828637,-115.59679863698946,KYUX,15.1925,2021/09/18/KYUX/KYUX20210918_151133_V06
52515,67.5,2275.0,649.0,8.567,33.42357827512873,-115.49240799231147,KYUX,15.264444444444445,2021/09/18/KYUX/KYUX20210918_151552_V06
57688,65.0,2064.0,562.0,7.486,33.396169345397304,-115.23296185857853,KYUX,15.336944444444445,2021/09/18/KYUX/KYUX20210918_152013_V06
54407,70.5,2112.0,522.0,7.43,33.38875828870717,-115.34648713288384,KYUX,15.4125,2021/09/18/KYUX/KYUX20210918_152445_V06
55492,76.0,2001.0,487.0,7.419,33.36819125221275,-115.10423116293532,KYUX,15.480277777777777,2021/09/18/KYUX/KYUX20210918_152849_V06
